Treatment of Disease	CONCLUSIONS: Our study identified the potential mechanism of @FORMULA@ in the treatment of @DISEASE@ through network pharmacology, and revealed the mechanism of HJD in the prevention of Skin Cutaneous Melanoma metastasis through immune infiltration analysis and prognostic analysis.
Treatment of Disease	Using this model, @FORMULA@ was shown to relieve paclitaxel-induced @DISEASE@.
Treatment of Disease	CONCLUSIONS: The present results demonstrate that @FORMULA@ attenuates @DISEASE@ and hepatic insulin resistance by regulating the ACE2/Ang (1-7)/Mas axis-mediated anti-inflammatory pathway in rats.
Treatment of Disease	CONCLUSIONS: The present results demonstrate that @FORMULA@ attenuates liver injury and @DISEASE@ by regulating the ACE2/Ang (1-7)/Mas axis-mediated anti-inflammatory pathway in rats.
Treatment of Disease	CONCLUSION: Analysis on physiological functions of these biological markers show that radiation could induce the @DISEASE@ and carbohydrate and affect the synthesis of some amino acids, and @FORMULA@ can reverse these effects.
Treatment of Disease	CONCLUSION: Analysis on physiological functions of these biological markers show that radiation could induce the disorder of the metabolism of lipoid and @DISEASE@ and affect the synthesis of some amino acids, and @FORMULA@ can reverse these effects.
Association	[Network pharmacology study on major active compounds of @FORMULA@ analogous formulae for treating @DISEASE@ of gynecology blood stasis syndrome].
Treatment of Disease	CONCLUSIONS: In this study we found, for the first time, that @FORMULA@ exerts anti-melanoma effects and regulates the miR-34b/c-Met/beta-catenin pathway in a @DISEASE@ mouse model.
Treatment of Disease	These data clearly demonstrate that the anti-fibrotic properties of @FORMULA@ are related to its ability to inhibit @DISEASE@ and its anti-angiogenic mechanisms are associated with improving oxidative stress, regulating the expression and signaling of angiogenic factors, and especially modulating HIF-1alpha in fibrotic livers.
Treatment of Disease	These data clearly demonstrate that the anti-fibrotic properties of @FORMULA@ are related to its ability to inhibit angiogenesis and its anti-angiogenic mechanisms are associated with improving oxidative stress, regulating the expression and signaling of angiogenic factors, and especially modulating HIF-1alpha in @DISEASE@.
Treatment of Disease	In conclusion, @FORMULA@ could alleviate the colonic mucosal inflammatory infiltration and mucosal damage in @DISEASE@ mice.
Treatment of Disease	In conclusion, @FORMULA@ could alleviate the @DISEASE@ infiltration and mucosal damage in UC mice.
Treatment of Disease	In general, @FORMULA@ attenuated @DISEASE@, in part, by inhibiting the AGEs/RAGE/NF-kappaB pathway.
Treatment of Disease	CONCLUSION: @FORMULA@ has definite therapeutic effect on chronic hepatitis B caused @DISEASE@.
Association	CONCLUSION: @FORMULA@ has definite therapeutic effect on @DISEASE@ caused liver fibrosis.
Treatment of Disease	CONCLUSION: The clinical efficacy of @FORMULA@ in the treatment of @DISEASE@ was more effective compared with the one of conventional WM alone.
Treatment of Disease	[Effect of @FORMULA@ on gastric antral interstitial cells of Cajal and stem cell factor in @DISEASE@ rats].
Treatment of Disease	CONCLUSION: In conclusion @FORMULA@ clearly improved the @DISEASE@ and losses of neurites and synapses.
Treatment of Disease	Overall, @FORMULA@ showed a tendency to reduce @DISEASE@ according to the Brief Fatigue Inventory (BFI, p = 0.07) and the Fatigue Severity Scale (FSS, p = 0.13) questionnaires.
Association	Pharmacokinetics of monoester-diterpenoid alkaloids in @DISEASE@ and normal rats after oral administration of @FORMULA@ by microdialysis combined with liquid chromatography-tandem mass spectrometry.
Treatment of Disease	CONCLUSION: YPFS accomplished anti-inflammatory effects mainly by suppressing phosphorylation of Smad2, TGF-beta1/Smad2 signaling pathway was required for @FORMULA@-mediated anti-inflammation in @DISEASE@ rats or CSE-treated Beas-2B cells.
Treatment of Disease	Multiple effects of @FORMULA@ aqueous extract on the Hs578T @DISEASE@ cell line.
Treatment of Disease	[The effects of @FORMULA@ on @DISEASE@ in rats--possible effects on intraglomerular cell mediated immunity].
Treatment of Disease	CONCLUSIONS: These results showed that @FORMULA@ may improve @DISEASE@ by affecting insulin resistance, chronic inflammation and lipid accumulation.
Treatment of Disease	CONCLUSIONS: These results showed that @FORMULA@ may improve DN by affecting @DISEASE@, chronic inflammation and lipid accumulation.
Treatment of Disease	CONCLUSIONS: These results showed that @FORMULA@ may improve DN by affecting insulin resistance, @DISEASE@ and lipid accumulation.
Treatment of Disease	CONCLUSION: @FORMULA@ improves cognitive function in @DISEASE@ patients.
Treatment of Disease	@FORMULA@ Attenuates @DISEASE@ by Inhibiting Renal Fibrosis via TGF-beta/Smad2/3 Pathway.
Treatment of Disease	@FORMULA@ Attenuates Diabetic Nephropathy by Inhibiting @DISEASE@ via TGF-beta/Smad2/3 Pathway.
Treatment of Disease	CONCLUSIONS: In this animal model of chronic liver disease, @FORMULA@ decreased @DISEASE@ disease and fibrosis.
Treatment of Disease	CONCLUSIONS: In this animal model of chronic liver disease, @FORMULA@ decreased hepatic necroinflammatory disease and @DISEASE@.
Treatment of Disease	CONCLUSIONS: In this animal model of @DISEASE@, @FORMULA@ decreased hepatic necroinflammatory disease and fibrosis.
Treatment of Disease	These results suggest that @FORMULA@ is effective in the treatment of @DISEASE@.
Treatment of Disease	CONCLUSION: On the basis of hormone replacement therapy, the combination of @FORMULA@ and Tiaobu Chongren acupuncture and moxibustion therapy is effective in treating @DISEASE@ patients with deficiency-cold syndrome, which can effectively regulate their serum sex hormone levels and promote the recovery of ovarian function.
Treatment of Disease	These findings suggest that @FORMULA@ may remit @DISEASE@ by modulating the gut microbiota and stabilizing the gut mucosal barrier, indicating that the use of a classical formula of Traditional Chinese Medicine (TCM) that exhibits a prebiotic effect may be a promising strategy for PI-IBS treatment.
Treatment of Disease	These results demonstrated that @FORMULA@ has a hepatoprotective effect against experimental @DISEASE@ induced by specific hepatotoxins, and therefore may be useful in treating some, but not all, liver injuries.
Treatment of Disease	These results demonstrated that @FORMULA@ has a hepatoprotective effect against experimental liver injuries induced by specific hepatotoxins, and therefore may be useful in treating some, but not all, @DISEASE@.
Treatment of Disease	CONCLUSION: @FORMULA@ had a protective effect on urinary toxin-induced @DISEASE@ in chronic renal failure, and its mechanism may be related to the upregulation of Nrf2/HO-1 signal transduction and the inhibition of tissue oxidative stress and inflammatory responses.
Treatment of Disease	CONCLUSION: @FORMULA@ had a protective effect on urinary toxin-induced intestinal epithelial barrier injury in @DISEASE@, and its mechanism may be related to the upregulation of Nrf2/HO-1 signal transduction and the inhibition of tissue oxidative stress and inflammatory responses.
Treatment of Disease	CONCLUSION: @FORMULA@ had a protective effect on urinary toxin-induced intestinal epithelial barrier injury in chronic renal failure, and its mechanism may be related to the upregulation of Nrf2/HO-1 signal transduction and the inhibition of tissue oxidative stress and @DISEASE@.
Treatment of Disease	CONCLUSIONS: @FORMULA@ effectively improved the behavioral and dopaminergic neuron damage in diverse @DISEASE@ models.
Treatment of Disease	Therefore, @FORMULA@ and Scutellaria radix have an antiproliferative effect on @DISEASE@ cells, especially MPC-1- immature myeloma cells, and baicalein may be responsible for the suppressive effect of Scutellaria radix by blocking IkB-alpha degradation.
Treatment of Disease	RESULTS: @FORMULA@ was able to inhibit the @DISEASE@ by ALX-induced mice(P < 0.01), significantly reduce level of FBG in normal mice, ALX-DM mice and rats (P < 0.05-0.01), improve IGT and lower 2hBG (P < 0.01) after OGTT in DX-induced insulin-resistant rats.
Treatment of Disease	RESULTS: @FORMULA@ was able to inhibit the hyperglycemia by ALX-induced mice(P < 0.01), significantly reduce level of FBG in normal mice, @DISEASE@ mice and rats (P < 0.05-0.01), improve IGT and lower 2hBG (P < 0.01) after OGTT in DX-induced insulin-resistant rats.
Treatment of Disease	RESULTS: @FORMULA@ was able to inhibit the hyperglycemia by ALX-induced mice(P < 0.01), significantly reduce level of FBG in normal mice, ALX-DM mice and rats (P < 0.05-0.01), improve IGT and lower 2hBG (P < 0.01) after OGTT in DX-induced @DISEASE@ rats.
Treatment of Disease	CONCLUSIONS: Bathing with @FORMULA@ plus oral prednisone achieves better outcomes than oral prednisone alone in patients with @DISEASE@ and is not associated with serious adverse events.
Treatment of Disease	CONCLUSION: By targeting inflammatory T cells and monocytes as well as disrupting their interplay, @FORMULA@ improved immune environment in @DISEASE@ models especially during the active stages of disease.
Association	Steroid-responsive @DISEASE@: combination therapy with prednisolone and @FORMULA@.
Treatment of Disease	CONCLUSIONS: In conclusion, our findings suggested for the first time that @FORMULA@ significantly suppressed human @DISEASE@ cell growth in orthotopic HepG2 xenograft-bearing immunocompetent mice.
Treatment of Disease	Our data provide prospective evidence that @FORMULA@ improves @DISEASE@-specific health status through regulating Qi and promoting blood circulation.
Treatment of Disease	CONCLUSIONS: The cardioprotective effects of @FORMULA@ during @DISEASE@ were mediated by inhibiting autophagy via regulating AMPK-mTOR signaling pathways.
Treatment of Disease	CONCLUSION: @FORMULA@ could alleviate @DISEASE@ through the predicted components and mechanisms.
Treatment of Disease	All these clues suggested that inhibition on nucleic acid synthesis was essential to the immunosuppressive activity of @FORMULA@ in vivo, and could contribute great importance to its therapeutic effects on @DISEASE@.
Treatment of Disease	CONCLUSION: @FORMULA@ could alleviate @DISEASE@ by altering the inflammatory response in rats with SAP based on the liver distribution of its components.
Treatment of Disease	CONCLUSION: @FORMULA@ could alleviate liver damage by altering the @DISEASE@ in rats with SAP based on the liver distribution of its components.
Association	CONCLUSION: @FORMULA@ could alleviate liver damage by altering the inflammatory response in rats with @DISEASE@ based on the liver distribution of its components.
Treatment of Disease	Our presented results suggest that @FORMULA@ may improve the @DISEASE@ and its induced inflammatory response after stroke, which could be a new target and mechanism for the treatment of stroke.
Treatment of Disease	Our presented results suggest that @FORMULA@ may improve the gut microbiota disorder and its induced @DISEASE@ after stroke, which could be a new target and mechanism for the treatment of stroke.
Treatment of Disease	Our presented results suggest that @FORMULA@ may improve the gut microbiota disorder and its induced inflammatory response after stroke, which could be a new target and mechanism for the treatment of @DISEASE@.
Treatment of Disease	CONCLUSION: @FORMULA@ treatment protected liver against the ConA-induced @DISEASE@ and improved liver function, which were associated with the modulation of gene expression related to immune/inflammatory response.
Treatment of Disease	CONCLUSION: @FORMULA@ treatment protected liver against the ConA-induced chronic liver damage and improved liver function, which were associated with the modulation of gene expression related to immune/@DISEASE@.
Treatment of Disease	Our primary research showed that treatment with @FORMULA@ effectively improved the quality of life of @DISEASE@ patients by facilitating a change in the body microenvironment that controlled tumor growth and prevented drug resistance.
Treatment of Disease	Our primary research showed that treatment with @FORMULA@ effectively improved the quality of life of breast cancer patients by facilitating a change in the body microenvironment that controlled @DISEASE@ growth and prevented drug resistance.
Treatment of Disease	CONCLUSION: @FORMULA@ could have an inhibitory effect on experimental @DISEASE@ induced by LPS.
Treatment of Disease	CONCLUSION: Adding @FORMULA@ to Western medicine might improve treatment outcomes of @DISEASE@, including FBG, 2hPG, response rates and control rates.
Treatment of Disease	These results demonstrate that @FORMULA@ could be an ameliorative agent for @DISEASE@.
Treatment of Disease	In conclusion, @FORMULA@ protects against intrahepatic cholestasis by reversing the @DISEASE@.
Treatment of Disease	In conclusion, @FORMULA@ protects against @DISEASE@ by reversing the disordered homeostasis of BAs and glutathione.
Treatment of Disease	@FORMULA@ exhibited protective effects against gingival damage through suppressing @DISEASE@ reaction and elevating antioxidation power.
Treatment of Disease	@FORMULA@ exhibited protective effects against @DISEASE@ through suppressing inflammation reaction and elevating antioxidation power.
Treatment of Disease	In conclusion, clinical application of @FORMULA@ could be an effective measure to prevent the occurrence of @DISEASE@ and also the recurrence of the disease, especially OME-prone individuals.
Treatment of Disease	@FORMULA@ may ameliorate stress-induced @DISEASE@ via prevention of adverse effects of CORT on cell survival, new-born immature neurons, spine density and neurotrophic factors.
Treatment of Disease	The data suggest that @FORMULA@ and Unkei-to might be useful for the @DISEASE@ in human PD patients as well as healthy human.
Treatment of Disease	The data suggest that Kamikihito and @FORMULA@ might be useful for the @DISEASE@ in human PD patients as well as healthy human.
Association	The data suggest that @FORMULA@ and Unkei-to might be useful for the sleep defects in human @DISEASE@ patients as well as healthy human.
Association	The data suggest that Kamikihito and @FORMULA@ might be useful for the sleep defects in human @DISEASE@ patients as well as healthy human.
Treatment of Disease	DISCUSSION AND CONCLUSIONS: @FORMULA@ could mitigate the pathological changes of @DISEASE@-like syndrome through inhibition of the TLR9 pathway.
Treatment of Disease	CONCLUSION: @FORMULA@ may be an effective method for treating patients with critical diseases with @DISEASE@ and is worthy of clinical application.
Treatment of Disease	@FORMULA@ has the curative effect on @DISEASE@, and its mechanism is related to 10 compounds, 10 core targets, and 5 pathways.
Treatment of Disease	CONCLUSIONS: @FORMULA@ could possibly inhibit the development of @DISEASE@ and relieve pain in patients with endometriosis by reducing inflammatory responses in ectopic tissue and the DRG.
Treatment of Disease	CONCLUSIONS: @FORMULA@ could possibly inhibit the development of endometriosis and relieve @DISEASE@ in patients with endometriosis by reducing inflammatory responses in ectopic tissue and the DRG.
Treatment of Disease	CONCLUSIONS: @FORMULA@ could possibly inhibit the development of endometriosis and relieve pain in patients with endometriosis by reducing @DISEASE@ in ectopic tissue and the DRG.
Treatment of Disease	CONCLUSION: The acute antidepressant-like action of @FORMULA@ is mediated by the monoaminergic and neuroendocrine systems although underlying mechanism still remains to be further elucidated, and this formula should be further investigated as an alternative therapeutic approach for the treatment of @DISEASE@.
Treatment of Disease	CR and @FORMULA@ alleviated @DISEASE@-induced interferon-gamma levels in the serum and tissues, and tumor necrosis factor-alpha (TNF-alpha) levels in intestinal tissues.
Association	CONCLUSION: Our findings demonstrated that @FORMULA@ mitigated coronary artery injury of @DISEASE@ through suppressing endothelial cell damage via PI3K/Akt-NFkappaB signaling.
Treatment of Disease	CONCLUSION: Our findings demonstrated that @FORMULA@ mitigated @DISEASE@ of KD through suppressing endothelial cell damage via PI3K/Akt-NFkappaB signaling.
Treatment of Disease	Accordingly, in vivo study showed that the progressive albuminuria, @DISEASE@ and loss of podocytes were significantly alleviated with @FORMULA@ treatment in diabetic mice, which paralleled by the marked inhibition of Nox4/p53/Bax signaling.
Treatment of Disease	Accordingly, in vivo study showed that the progressive albuminuria, glomerulosclerosis and @DISEASE@ were significantly alleviated with @FORMULA@ treatment in diabetic mice, which paralleled by the marked inhibition of Nox4/p53/Bax signaling.
Association	Accordingly, in vivo study showed that the progressive albuminuria, glomerulosclerosis and loss of podocytes were significantly alleviated with @FORMULA@ treatment in @DISEASE@ mice, which paralleled by the marked inhibition of Nox4/p53/Bax signaling.
Treatment of Disease	Accordingly, in vivo study showed that the @DISEASE@, glomerulosclerosis and loss of podocytes were significantly alleviated with @FORMULA@ treatment in diabetic mice, which paralleled by the marked inhibition of Nox4/p53/Bax signaling.
Treatment of Disease	@FORMULA@ could treat NAFLD by inhibiting oxidative stress, reducing @DISEASE@, and improving the dysbiosis of gut microbiota and the modulation of the taurine and hypotaurine metabolism, cysteine and methionine metabolism, and vitamin B6 metabolism pathways in serum.
Treatment of Disease	@FORMULA@ could treat NAFLD by inhibiting oxidative stress, reducing inflammatory responses, and improving the @DISEASE@ of gut microbiota and the modulation of the taurine and hypotaurine metabolism, cysteine and methionine metabolism, and vitamin B6 metabolism pathways in serum.
Treatment of Disease	@FORMULA@ could treat @DISEASE@ by inhibiting oxidative stress, reducing inflammatory responses, and improving the dysbiosis of gut microbiota and the modulation of the taurine and hypotaurine metabolism, cysteine and methionine metabolism, and vitamin B6 metabolism pathways in serum.
Treatment of Disease	CONCLUSION: The pharmacological effects of @FORMULA@ and YGJ were similar to some degree, which gives support to the cognition that the feature of @DISEASE@ model rat induced by CCI4 is attributable to yin-deficiency sydrome.
Treatment of Disease	CONCLUSION: The pharmacological effects of LWDH and @FORMULA@ were similar to some degree, which gives support to the cognition that the feature of @DISEASE@ model rat induced by CCI4 is attributable to yin-deficiency sydrome.
Treatment of Disease	CONCLUSION: The pharmacological effects of @FORMULA@ and YGJ were similar to some degree, which gives support to the cognition that the feature of chronic liver injury model rat induced by CCI4 is attributable to @DISEASE@.
Treatment of Disease	CONCLUSION: The pharmacological effects of LWDH and @FORMULA@ were similar to some degree, which gives support to the cognition that the feature of chronic liver injury model rat induced by CCI4 is attributable to @DISEASE@.
Treatment of Disease	IL2, PIWIL4, DICER1, PIWIL2, and DCP1A may have important roles in the mechanism of @FORMULA@ treatment against @DISEASE@.
Treatment of Disease	The findings here improve our understanding of YST extracted by 80% ethanol, suggesting that @FORMULA@ can be used as a therapeutic treatment for @DISEASE@.
Treatment of Disease	CONCLUSIONS: @FORMULA@, which contains sedative and anti-inflammatory agents, is the most commonly prescribed Chinese herbal formula for the treatment of @DISEASE@-related phenomena.
Treatment of Disease	In conclusion, ESMW, as the antilipolytic fraction of @FORMULA@, inhibited PKA-HSL related lipolysis by activating AMPK, thus inhibiting diacylglycerol (DAG) accumulation in the liver and thereby improving @DISEASE@ and hepatic gluconeogenesis.
Treatment of Disease	CONCLUSION: Our study results suggest that the traditional Chinese herbal medicine @FORMULA@ may be an alternative choice of therapy for @DISEASE@.
Association	A randomized controlled, open-label early phase II trial comparing incidence of FOLFIRI.3-induced @DISEASE@ between @FORMULA@ and oral alkalization in Japanese patients with colorectal cancer.
Association	A randomized controlled, open-label early phase II trial comparing incidence of FOLFIRI.3-induced diarrhoea between @FORMULA@ and oral alkalization in Japanese patients with @DISEASE@.
Cause of Side-effect	Based on the clinical course and the exclusion of other etiologies, @FORMULA@-induced @DISEASE@ with diffuse alveolar hemorrhage was considered.
Cause of Side-effect	Based on the clinical course and the exclusion of other etiologies, @FORMULA@-induced pneumonitis with @DISEASE@ was considered.
Treatment of Disease	@FORMULA@, Shu-Jin-Huo-Xie-Tang, and Du-Huo-Ji-Sheng-Tang might be associated with a lower risk of @DISEASE@.
Treatment of Disease	Gui-Zhi-Shao-Yao-Zhi-Mu-Tang, Shu-Jin-Huo-Xie-Tang, and @FORMULA@ might be associated with a lower risk of @DISEASE@.
Treatment of Disease	@FORMULA@ attenuated and inhibited the occurrence and development of @DISEASE@ induced by hyperlipidemia possibly through regulating the functional differentiation of monocytes, macrophages, and foam cells.
Association	@FORMULA@ attenuated and inhibited the occurrence and development of atherosclerosis induced by @DISEASE@ possibly through regulating the functional differentiation of monocytes, macrophages, and foam cells.
Treatment of Disease	CONCLUSION: @FORMULA@ reduced @DISEASE@ by increasing the oxygen uptake and the systemic utility of oxygen.
Treatment of Disease	The MDCK cellular research results showed that, among nine predominant ingredients of @FORMULA@, L-methylephedrin (LMEP), L-ephedrine (LEP) and D-pseudo- ephedrine (DPEP) significantly inhibited the proliferation of @DISEASE@ A virus in vitro, and the inhibitory effect at 24 h after the treatment was more obvious than that at 48 h.
Treatment of Disease	The results indicated that @FORMULA@ had good therapeutic effects for @DISEASE@.
Cause of Side-effect	To the best of our knowledge, there has been no previous case of drug-induced @DISEASE@ due to @FORMULA@ reported in the world.
Treatment of Disease	The results indicated that @FORMULA@ could significantly protect muscles from simulated weightlessnessinduced @DISEASE@.
Treatment of Disease	CONCLUSIONS: @FORMULA@ significantly alleviates abnormal tumor-induced EPC accumulation, inhibits B16 @DISEASE@ progression, and enhances anti-tumor immune responses.
Treatment of Disease	CONCLUSIONS: @FORMULA@ significantly alleviates abnormal @DISEASE@-induced EPC accumulation, inhibits B16 melanoma progression, and enhances anti-tumor immune responses.
Treatment of Disease	CONCLUSION: @FORMULA@ can inhibit myocardial fibrosis in the rat of diabetic cardiomyopathy, and significantly delay the formation of @DISEASE@ in hyperglycemia rats through multiple pathways.
Association	CONCLUSION: @FORMULA@ can inhibit myocardial fibrosis in the rat of diabetic cardiomyopathy, and significantly delay the formation of diabetic cardiomyopathy in @DISEASE@ rats through multiple pathways.
Treatment of Disease	CONCLUSION: @FORMULA@ can inhibit @DISEASE@ in the rat of diabetic cardiomyopathy, and significantly delay the formation of diabetic cardiomyopathy in hyperglycemia rats through multiple pathways.
Treatment of Disease	CONCLUSIONS: @FORMULA@ displays benefits on improvement of neurological function and overall therapeutic efficacy in post-@DISEASE@ patients.
Treatment of Disease	CONCLUSION: @FORMULA@ has effects on improving the absorptive function of small intestine, shortening the duration of @DISEASE@ and rotavirus shedding from stool and alleviating the pathological changes of small intestine induced by rotavirus.
Treatment of Disease	CONCLUSION: @FORMULA@ has effects on improving the absorptive function of small intestine, shortening the duration of diarrhea and rotavirus shedding from stool and alleviating the @DISEASE@ induced by rotavirus.
Treatment of Disease	Results: The number of @DISEASE@ HepG2 cells were significantly decreased (P0.01) and cells showed typical apoptotic cell morphology after treated with serum contained @FORMULA@.
Treatment of Disease	CONCLUSION: @FORMULA@ could attenuate ulcerative colitis and ameliorate @DISEASE@.
Treatment of Disease	CONCLUSION: @FORMULA@ could attenuate @DISEASE@ and ameliorate gut microbial dysbiosis.
Treatment of Disease	CONCLUSION: @FORMULA@ therapy obviously improved the ovarian polycystic pathogenesis and regained the development of follicles via upregulating Cyp19a1, alleviated @DISEASE@ through acting on PI3K/Akt signaling pathway.
Treatment of Disease	CONCLUSION: @FORMULA@ therapy obviously improved the @DISEASE@ pathogenesis and regained the development of follicles via upregulating Cyp19a1, alleviated insulin resistance through acting on PI3K/Akt signaling pathway.
Association	In conclusion, @FORMULA@ improved ocular surface disorders in patients with @DISEASE@.
Treatment of Disease	In conclusion, @FORMULA@ improved @DISEASE@ in patients with insulin-dependent diabetes mellitus.
Treatment of Disease	CONCLUSION: @FORMULA@ treatment improves @DISEASE@ symptoms and ameliorates nerve conduction velocities.
Treatment of Disease	CONCLUSIONS: This study elucidated that most of the direct acting substances of @FORMULA@ in vivo were flavonoids and anthraquinones, which may play a role in regulating cell reproduction and apoptosis and inhibiting @DISEASE@, providing a reference for the research of pharmacodynamic material basis and mechanism of DCQ in the treatment of CRC.
Treatment of Disease	CONCLUSIONS: This study elucidated that most of the direct acting substances of DCQ in vivo were flavonoids and anthraquinones, which may play a role in regulating cell reproduction and apoptosis and inhibiting inflammation, providing a reference for the research of pharmacodynamic material basis and mechanism of @FORMULA@ in the treatment of @DISEASE@.
Treatment of Disease	[@FORMULA@ treat @DISEASE@ by activating NLRP3].
Treatment of Disease	The effect of compound @FORMULA@ on the treatment of @DISEASE@ with transnasal ileus tube.
Treatment of Disease	CONCLUSION: @FORMULA@ participates in @DISEASE@ treatment by inhibiting Wnt/beta-catenin signaling pathway, thus inhibiting GC cell activity and clone formation, promoting oxidative stress, and inducing apoptosis.
Treatment of Disease	This gives further evidence that @FORMULA@ would be a suitable treatment for @DISEASE@ and protecting vital organs.
Treatment of Disease	The results are propitious to prove that @FORMULA@ might play an antioxidative stress role in the prevention of @DISEASE@ after PCI.
Treatment of Disease	"CONCLUSION: Our study revealed a ""two-hits-targeting"" mechanism of @FORMULA@ in the treatment for @DISEASE@: alleviating oxidative stress and activating cholesterol secretion."
Association	Simultaneous Determination of Ten Bioactive Components from @FORMULA@ in Rat Plasma by UHPLC-MS/MS: Application to a Comparative Pharmacokinetic Study in Normal and Two Models of @DISEASE@ Rats.
Treatment of Disease	CONCLUSION: @FORMULA@ may promote the recovery of intestinal mucosal permeability and decrease the incidence of @DISEASE@ and pancreatic infection in patients with SAP.
Treatment of Disease	CONCLUSION: @FORMULA@ may promote the recovery of intestinal mucosal permeability and decrease the incidence of MODS and @DISEASE@ in patients with SAP.
Association	CONCLUSION: @FORMULA@ may promote the recovery of intestinal mucosal permeability and decrease the incidence of MODS and pancreatic infection in patients with @DISEASE@.
Treatment of Disease	These findings suggested that the therapeutic effects of @FORMULA@ on @DISEASE@ were achieved by restoring mucosal barrier integrity and suppressing lowgrade inflammation in the duodenum, which was at least partially mediated via the CRF signaling pathway.
Treatment of Disease	These findings suggested that the therapeutic effects of @FORMULA@ on FD were achieved by restoring mucosal barrier integrity and suppressing @DISEASE@, which was at least partially mediated via the CRF signaling pathway.
Treatment of Disease	BrdU incorporation, cell cycle analysis and DNA fragmentation assay revealed that @FORMULA@ suppressed the proliferation of @DISEASE@ cells via G0/G1 cell cycle arrest and inhibition of DNA synthesis followed by apoptosis.
Treatment of Disease	Based on the national recommendation of @FORMULA@ prescription, this review discusses the role of volatile components in the prevention and treatment of @DISEASE@, and speculates the possible mechanism of action, so as to provide a basis for the prevention and treatment of COVID-19.
Cause of Side-effect	To the best of our knowledge, this is the first case of @DISEASE@ caused by @FORMULA@.
Treatment of Disease	CONCLUSION: @FORMULA@ may be effective for treating @DISEASE@.
Treatment of Disease	It was observed that @FORMULA@ and/or QZS served to ameliorate MPTP-induced @DISEASE@ and prevent the loss of substantia nigra dopamine neurons, as well as increase ATP level in the midbrain tissue and downregulate SUR1 expression at mRNA and protein levels with no marked influence on Kir6.2.
